location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Alipur, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,11.8,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sri Aurobindo Marg, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,9.7,µg/m³,28.531346,77.190156,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Mundka, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,13.1,µg/m³,28.684678,77.076574,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Wazirpur, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,11.9,µg/m³,28.699793,77.165453,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Narela, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,9.9,µg/m³,28.822836,77.101981,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-10, Gandhinagar - GPCB",GandhiNagar,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.07,µg/m³,23.221714,72.654328,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-12, Karnal - HSPCB",Karnal,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,2.06,µg/m³,29.6953,77.0027,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-7, Kurukshetra - HSPCB",Kurukshetra ,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,6.28,µg/m³,29.966942,76.875879,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Vivek Vihar, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,5.2,µg/m³,28.672342,77.31526,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,10.7,µg/m³,28.530785,77.271255,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Najafgarh, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,3.4,µg/m³,28.570173,76.933762,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Ashok Vihar, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,12.4,µg/m³,28.695381,77.181665,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Anand Vihar, Delhi - DPCC",Delhi,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,4.6,µg/m³,28.646835,77.316032,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,4.75,µg/m³,30.9028,75.8086,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Police Commissionerate, Jaipur - RSPCB",Jaipur,IN,2019-12-18T18:30:00.000Z,2019-12-19T00:00:00+05:30,so2,9.74,µg/m³,26.9164092,75.7994901,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
