location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
US Diplomatic Post: Chennai,Chennai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,47,µg/m³,13.08784,80.27847,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Kolkata,Kolkata,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,131,µg/m³,22.56263,88.36304,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
US Diplomatic Post: Hyderabad,Hyderabad,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,94,µg/m³,17.38405,78.45636,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
"Sector-10, Gandhinagar - GPCB",GandhiNagar,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,96.37,µg/m³,23.221714,72.654328,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-12, Karnal - HSPCB",Karnal,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,194.38,µg/m³,29.6953,77.0027,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sector-7, Kurukshetra - HSPCB",Kurukshetra ,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,153.02,µg/m³,29.966942,76.875879,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Vivek Vihar, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,510,µg/m³,28.672342,77.31526,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Najafgarh, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,223,µg/m³,28.570173,76.933762,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,499,µg/m³,28.530785,77.271255,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Anand Vihar, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,491,µg/m³,28.646835,77.316032,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Punjab Agricultural University, Ludhiana - PPCB",Ludhiana,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,82.64,µg/m³,30.9028,75.8086,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Punjabi Bagh, Delhi - DPCC",Delhi,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,371,µg/m³,28.674045,77.131023,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
US Diplomatic Post: Mumbai,Mumbai,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,89,µg/m³,19.07283,72.88261,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
"Shyam Nagar, Palwal - HSPCB",Palwal ,IN,2019-12-19T18:30:00.000Z,2019-12-20T00:00:00+05:30,pm25,199.74,µg/m³,28.1485564,77.3300667,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
